Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PARM,Chrome 75.0.3770.142,,,2019-07-18 04:51:27,2019-07-18 04:51:44,16.836s,INCOMPLETE
,,,,,,,
Test Cases/PARM/TC_01_ValidateSearchResult,Chrome 75.0.3770.142,,,2019-07-18 04:51:27,2019-07-18 04:51:44,16.608s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-18 04:51:27,2019-07-18 04:51:34,6.423s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-18 04:51:34,2019-07-18 04:51:38,4.147s,PASSED
"navigateToUrl(""http://10.50.120.22:81/nvkids/#/tools/maintanance/parm/view"")",Chrome 75.0.3770.142,,,2019-07-18 04:51:38,2019-07-18 04:51:38,0.388s,PASSED
"click(findTestObject(""PARM/PARMSearch/ExpandFilter""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:38,2019-07-18 04:51:39,0.695s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickJobLOV""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:39,2019-07-18 04:51:39,0.120s,PASSED
"setText(findTestObject(""PARM/PARMSearch/TypeJOB""), ""nvb0014"")",Chrome 75.0.3770.142,,,2019-07-18 04:51:39,2019-07-18 04:51:39,0.166s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickSeachJOBLOV""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:39,2019-07-18 04:51:39,0.076s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-18 04:51:39,2019-07-18 04:51:41,2.018s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickData""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:41,2019-07-18 04:51:41,0.075s,PASSED
"click(findTestObject(""PARM/PARMSearch/ClickOkLOV""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:41,2019-07-18 04:51:41,0.093s,PASSED
"click(findTestObject(""PARM/PARMSearch/FilterSearch""))",Chrome 75.0.3770.142,,,2019-07-18 04:51:41,2019-07-18 04:51:42,0.099s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-18 04:51:42,2019-07-18 04:51:44,2.002s,PASSED
"verifyElementText(findTestObject(""PARM/PARMSearch/SearchResult""), ""NVB0014"")",Chrome 75.0.3770.142,,,2019-07-18 04:51:44,2019-07-18 04:51:44,0.063s,PASSED
